Country,City,Year,AQI,PM2.5,PM10,Deforestation_Rate_%,Afforestation_Rate_%,Vehicles_Increase_%,Industries_Increase_%,Env_Budget_Million_USD,Population_Density_Per_SqKm,CO2_Emissions_MT,Green_Space_Ratio_%,Avg_Life_Expectancy_Index
Argentina,Buenos Aires,2016,89.16,44.44,89.92,4.05,2.69,9.13,5.33,334.79,4824.12,162.85,39.2,79.73
Argentina,Buenos Aires,2016,116.55,57.2,113.8,1.43,2.99,10.08,7.54,272.53,8468.06,207.58,39.08,77.78
Argentina,Buenos Aires,2017,153.32,85.14,138.57,3.62,2.16,10.08,7.2,348.28,8658.23,209.84,34.22,75.48
Argentina,Buenos Aires,2017,209.13,116.33,228.17,3.46,1.19,13.46,7.19,154.56,13912.41,243.28,26.19,71.37
Argentina,Buenos Aires,2017,171.96,96.81,178.69,4.04,0.95,8.25,5.03,95.76,9914.42,148.01,28.91,73.73
Argentina,Buenos Aires,2017,141.64,61.15,150.49,2.77,2.11,7.26,5.94,117.01,7181.2,158.19,36.38,75.79
Argentina,Buenos Aires,2017,171.47,82.26,185.72,4.11,1.98,12.15,4.53,98.9,6004.36,194.65,35.84,73.77
Argentina,Buenos Aires,2017,167.41,77.84,134.64,2.13,2.69,11.6,4.01,305.57,12540.23,175.51,33.39,74.45
Argentina,Buenos Aires,2017,125.27,61.38,102.21,1.05,0.52,5.21,3.84,366.07,9603.27,145.1,30.91,77.38
Argentina,Buenos Aires,2017,179.23,76.93,136.35,2.93,2.54,13.96,9.07,399.95,9175.86,236.86,35.51,73.85
Argentina,Buenos Aires,2017,95.88,42.19,79.68,2.32,2.15,10.68,5.36,222.75,6879.03,173.3,37.25,79.05
Argentina,Buenos Aires,2017,68.08,27.74,72.54,0.81,1.4,4.4,3.76,181.2,10826.69,119.7,32.56,80.82
Argentina,Buenos Aires,2017,128.29,69.54,114.65,4.48,2.19,6.9,5.89,239.94,13200.25,189.74,28.9,76.93
Argentina,Buenos Aires,2017,105.82,67.84,92.27,1.22,1.6,10.44,5.57,244.6,7272.95,181.09,36.3,78.43
Argentina,Buenos Aires,2017,163.76,90.63,122.96,3.97,0.99,6.58,3.45,391.4,14838.98,134.62,24.15,74.87
Argentina,Buenos Aires,2017,129.9,59.54,125.26,2.01,2.93,13.31,7.69,203.3,11945.12,227.36,34.85,76.75
Argentina,Buenos Aires,2017,153.32,70.21,138.26,3.1,2.61,13.82,4.85,318.77,5981.1,195.45,38.74,75.42
Argentina,Buenos Aires,2017,164.18,102.6,139.03,4.06,1.06,11.6,6.37,397.31,11324.64,195.37,27.79,74.85
Argentina,Buenos Aires,2017,85.01,38.41,76.36,1.17,1.99,7.41,5.45,172.78,8884.36,143.46,35.92,79.68
Argentina,Buenos Aires,2017,124.35,64.67,102.57,2.28,0.82,11.56,3.64,372.2,6238.23,175.37,33.94,77.45
Argentina,Buenos Aires,2017,107.7,67.49,94.66,3.79,2.85,6.04,8.05,199.09,7580.43,184.52,37.18,78.22
Argentina,Buenos Aires,2017,44.18,26.73,33.56,0.55,2.5,4.6,4.24,95.31,1926.7,96.94,45.01,82.25
Argentina,Buenos Aires,2017,66.75,43.6,57.91,1.71,2.39,9.77,5.06,211.25,2954.32,179.68,42.5,80.97
Argentina,Buenos Aires,2017,146.57,101.26,155.99,1.48,0.88,11.81,9.64,342.57,8345.07,244.44,32.82,75.91
Argentina,Buenos Aires,2017,70.54,48.17,52.75,1.15,1.38,7.09,6.16,265.81,6769.35,159.78,36.23,80.83
Argentina,Buenos Aires,2017,157.49,90.73,147.83,4.41,0.84,9.08,5.3,133.38,5916.54,151.11,32.18,74.77
Argentina,Buenos Aires,2017,194.47,109.12,150.15,4.27,2.73,10.71,9.46,149.72,14247.34,240.66,29.68,72.33
Argentina,Buenos Aires,2017,98.75,68.86,104.55,1.05,2.48,9.11,4.7,307.78,5776.59,153.77,40.6,79.03
Argentina,Buenos Aires,2017,112.92,57.49,106.44,0.55,2.95,7.09,5.79,240.44,13906.2,191.69,34.4,77.95
Argentina,Buenos Aires,2018,111.73,71.97,104.62,2.98,1.78,8.13,5.81,391.12,8364.99,181.24,33.99,78.33
Argentina,Buenos Aires,2018,114.55,77.51,103.84,1.78,1.67,7.1,4.52,127.01,8113.73,140.97,35.1,77.62
Argentina,Buenos Aires,2018,165.54,100.38,147.43,3.46,1.28,4.9,6.51,353.61,12717.72,165.04,27.67,74.67
Argentina,Buenos Aires,2018,136.64,73.65,122.45,2.77,1.12,8.37,6.54,225.43,3728.68,177.32,36.87,76.34
Argentina,Buenos Aires,2018,104.78,43.87,107.84,3.18,0.52,6.17,8.94,281.89,1696.68,188.98,36.68,78.58
Argentina,Buenos Aires,2018,88.93,41.63,76.71,1.54,2.99,11.72,4.1,361.42,6600.11,194.53,40.83,79.79
Argentina,Buenos Aires,2018,137.97,83.84,128.01,3.11,0.5,7.78,8.02,232.57,3200.08,168.73,35.18,76.27
Argentina,Buenos Aires,2018,36.25,21.34,36.83,1.48,1.92,4.02,8.21,372.5,2210.55,135.84,42.06,83.33
Argentina,Buenos Aires,2018,123.67,51.34,112.46,2.87,1.38,11.23,6.49,214.07,1479.07,172.62,39.78,77.18
Argentina,Buenos Aires,2018,104.24,53.39,104.05,0.86,0.48,5.17,7.49,266.08,12082.52,188.53,28.51,78.58
Argentina,Buenos Aires,2018,175.49,94.05,179.24,0.65,2.84,13.44,5.68,330.8,14894.29,224.49,32.97,73.96
Argentina,Buenos Aires,2018,169.68,101.87,127.93,3.42,0.66,6.52,7.87,126.3,9490.65,178.31,29.06,73.94
Argentina,Buenos Aires,2018,129.82,57.64,109.35,1.28,0.4,10.26,6.86,264.62,11371.84,208.44,28.55,76.87
Argentina,Buenos Aires,2018,140.62,90.2,107.82,2.49,2.93,8.01,4.61,132.03,13396.73,171.45,32.91,75.89
Argentina,Buenos Aires,2018,30.73,17.72,23.03,1.1,2.74,4.06,5.32,245.58,3232.37,117.09,43.91,83.44
Argentina,Buenos Aires,2018,177.6,88.52,154.34,2.62,1.3,13.27,7.74,384.62,14410.94,241.09,26.88,73.93
Argentina,Buenos Aires,2018,166.37,96.42,144.73,3.37,1.25,6.67,3.64,95.04,13190.67,163.89,27.18,74.1
Argentina,Buenos Aires,2018,199.95,112.93,149.29,2.94,0.47,8.66,7.89,224.39,12061.4,201.04,26.4,72.12
Argentina,Buenos Aires,2018,116.09,79.95,117.04,3.55,0.61,5.69,7.47,177.57,1489.75,141.22,36.79,77.62
Argentina,Buenos Aires,2018,154.1,72.39,164.41,3.81,0.93,11.36,4.42,278.55,2355.63,157.0,36.63,75.28
Argentina,Buenos Aires,2018,81.8,40.11,74.56,0.88,2.62,4.99,5.24,146.72,5301.93,128.9,41.69,79.84
Argentina,Buenos Aires,2018,127.98,67.04,93.15,4.2,0.78,4.14,6.97,83.05,12352.65,158.43,25.79,76.63
Argentina,Buenos Aires,2019,95.29,49.1,73.98,2.34,2.37,4.8,9.73,280.25,8391.69,190.32,36.38,79.21
Argentina,Buenos Aires,2019,139.71,70.69,146.41,3.22,1.5,10.6,5.88,128.53,5416.58,198.7,35.85,75.94
Argentina,Buenos Aires,2019,139.62,83.79,139.61,0.71,0.43,7.89,9.47,87.27,1138.72,173.43,39.43,75.87
Argentina,Buenos Aires,2019,163.37,70.08,155.2,1.24,1.35,12.73,4.18,187.26,11568.26,216.2,31.25,74.48
Argentina,Buenos Aires,2019,151.69,66.65,146.19,4.26,1.66,11.26,4.26,86.38,9325.88,174.41,31.41,75.06
Argentina,Buenos Aires,2019,111.72,71.02,109.12,1.12,2.76,13.57,3.17,224.4,14661.27,213.41,32.51,78.0
Argentina,Buenos Aires,2019,130.5,63.15,117.59,0.95,2.3,13.2,3.97,289.35,7675.91,204.07,38.27,76.88
Argentina,Buenos Aires,2019,119.63,63.39,95.89,2.01,2.63,13.11,4.53,294.05,11915.44,191.38,33.96,77.61
Argentina,Buenos Aires,2019,153.06,88.17,146.02,0.68,2.97,6.87,7.99,220.91,9741.23,186.72,38.5,75.24
Argentina,Buenos Aires,2019,83.71,50.45,70.99,0.52,0.99,5.86,7.74,221.73,6063.1,171.5,36.39,79.86
Argentina,Buenos Aires,2019,111.67,64.83,99.05,1.96,1.28,10.26,4.43,109.71,6446.41,187.53,35.44,77.77
Argentina,Buenos Aires,2019,138.0,80.72,119.96,4.05,0.68,7.35,8.02,149.86,10498.75,205.17,27.49,76.1
Argentina,Buenos Aires,2019,183.74,77.86,145.8,1.69,1.0,9.68,6.81,71.96,11682.51,208.25,29.62,72.89
Argentina,Buenos Aires,2019,106.61,67.74,78.29,1.35,2.15,13.02,7.61,356.71,6289.4,204.1,38.82,78.61
Argentina,Buenos Aires,2019,208.8,113.45,162.45,0.66,1.69,12.33,9.7,212.21,14815.03,248.78,29.6,71.5
Argentina,Buenos Aires,2019,141.91,66.74,154.51,1.18,0.63,10.5,4.78,188.81,8623.16,170.52,32.1,75.92
Argentina,Buenos Aires,2019,132.48,54.01,103.39,3.9,2.72,7.07,6.49,92.85,9666.64,171.46,34.6,76.35
Argentina,Buenos Aires,2019,153.19,89.05,113.97,2.76,1.44,12.75,6.7,241.83,13372.66,212.62,28.17,75.27
Argentina,Buenos Aires,2020,125.17,57.71,99.33,3.4,0.83,9.81,5.89,294.75,4864.44,186.17,34.23,77.24
Argentina,Buenos Aires,2020,171.72,73.47,156.87,3.71,1.91,13.84,8.47,334.25,4631.83,235.67,37.39,74.22
Argentina,Buenos Aires,2020,202.76,134.16,184.17,3.05,1.52,12.37,9.58,171.05,13449.12,251.2,28.07,71.82
Argentina,Buenos Aires,2020,102.58,41.86,98.35,2.2,1.82,13.92,5.28,242.35,1902.48,196.7,41.37,78.65
Argentina,Buenos Aires,2020,150.78,61.98,160.44,2.39,2.12,4.58,4.99,301.48,12898.5,140.19,31.07,75.55
Argentina,Buenos Aires,2020,175.88,121.72,150.64,2.3,2.38,6.99,6.23,355.87,13919.63,179.87,30.92,73.99
Argentina,Buenos Aires,2020,96.81,67.71,103.17,1.58,0.45,5.0,4.66,254.06,9279.04,139.05,30.49,79.05
Argentina,Buenos Aires,2020,158.96,81.81,120.96,1.14,1.53,13.32,3.84,75.69,12066.75,188.16,31.37,74.55
Argentina,Buenos Aires,2020,168.95,87.69,119.11,2.09,0.65,10.87,5.57,211.44,6716.25,199.15,33.15,74.16
Argentina,Buenos Aires,2020,115.43,72.63,104.98,2.28,1.39,7.85,4.48,366.94,14601.1,186.37,27.3,78.04
Argentina,Buenos Aires,2020,134.45,75.99,125.01,4.15,2.93,6.77,6.57,384.17,14853.76,183.29,29.78,76.8
Argentina,Buenos Aires,2020,82.91,43.74,76.49,2.31,0.85,6.74,6.73,241.54,3655.87,152.67,36.58,79.96
Argentina,Buenos Aires,2021,187.64,77.48,157.64,3.07,0.38,7.76,9.97,264.73,9161.78,218.73,28.89,73.02
Argentina,Buenos Aires,2021,118.65,49.73,86.08,2.38,1.33,13.65,9.56,384.71,3105.13,252.01,38.5,77.86
Argentina,Buenos Aires,2021,135.52,79.8,138.06,2.99,1.84,9.95,7.76,254.33,2993.24,203.3,39.53,76.47
Argentina,Buenos Aires,2021,107.93,75.38,111.02,4.13,1.05,9.06,7.28,176.6,2305.34,193.66,36.7,78.16
Argentina,Buenos Aires,2021,129.98,64.42,120.86,0.62,0.38,10.35,8.25,94.74,11712.0,227.21,28.8,76.52
Argentina,Buenos Aires,2021,127.88,72.55,121.66,3.16,0.5,6.38,5.08,277.07,12181.82,161.05,26.15,77.03
Argentina,Buenos Aires,2021,159.94,94.37,167.7,3.46,2.18,6.46,8.88,62.7,13785.97,178.95,29.3,74.46
Argentina,Buenos Aires,2021,118.48,67.02,110.49,1.68,0.88,10.65,7.0,171.84,9377.81,218.93,31.58,77.45
Argentina,Buenos Aires,2021,98.84,62.61,76.08,2.47,0.65,7.61,6.27,307.35,7479.17,168.63,32.01,79.03
Argentina,Buenos Aires,2021,88.31,53.87,75.99,2.42,0.79,6.22,7.02,235.95,2460.04,160.41,37.48,79.58
Argentina,Buenos Aires,2021,144.57,75.02,101.42,1.04,0.83,8.17,4.81,312.0,8394.96,152.57,33.07,75.99
Argentina,Buenos Aires,2021,146.11,85.25,106.07,1.64,1.01,11.36,8.37,217.37,4660.08,232.68,36.74,75.69
Argentina,Buenos Aires,2021,127.69,64.56,135.36,4.38,2.01,11.5,9.31,318.51,5470.65,226.7,36.18,77.12
Argentina,Buenos Aires,2021,139.32,76.9,115.56,3.65,0.56,5.38,9.63,89.98,9440.57,202.35,28.57,75.89
Argentina,Buenos Aires,2021,156.16,64.69,152.22,3.12,1.34,8.19,8.76,373.07,7075.08,206.8,33.82,75.34
Argentina,Buenos Aires,2021,166.65,107.71,178.97,1.1,1.48,6.98,8.47,118.92,14219.11,195.38,29.11,74.13
Argentina,Buenos Aires,2021,196.79,128.96,160.22,4.34,2.34,11.24,9.57,302.09,10974.58,255.7,31.71,72.48
Argentina,Buenos Aires,2021,110.36,60.03,107.04,2.52,0.98,5.5,8.74,363.87,12293.04,171.08,28.11,78.37
Argentina,Buenos Aires,2022,134.43,78.32,106.02,3.95,2.22,11.3,3.85,325.17,1962.54,145.19,40.74,76.69
Argentina,Buenos Aires,2022,208.64,86.73,201.03,3.89,0.69,12.4,9.85,77.13,3810.74,248.52,34.38,71.24
Argentina,Buenos Aires,2022,97.6,48.6,98.9,3.84,2.91,4.43,3.65,120.52,2050.74,116.03,42.85,78.73
Argentina,Buenos Aires,2022,93.08,48.72,77.91,2.59,1.8,4.25,4.44,66.12,4892.2,112.9,37.93,78.93
Argentina,Buenos Aires,2022,212.59,128.22,178.37,3.97,1.01,13.98,4.69,90.69,14012.89,198.09,25.04,71.01
Argentina,Buenos Aires,2022,145.78,94.53,155.28,2.06,0.9,8.72,9.48,147.41,10967.83,222.51,29.68,75.58
Argentina,Buenos Aires,2022,187.01,86.31,157.85,4.41,2.03,12.12,3.92,176.82,12612.13,189.5,29.05,72.89
Argentina,Buenos Aires,2022,95.93,62.21,76.08,2.73,2.41,7.58,8.05,121.54,6234.72,180.86,38.26,78.85
Argentina,Buenos Aires,2022,116.12,78.2,111.22,1.73,2.41,13.33,4.79,110.46,7470.36,210.87,38.04,77.48
Argentina,Buenos Aires,2022,162.26,91.56,129.7,2.27,1.49,7.26,7.98,142.76,9227.56,205.31,32.98,74.47
Argentina,Buenos Aires,2022,197.18,118.49,181.42,4.35,0.39,10.35,7.65,79.43,11911.56,203.45,24.92,72.01
Argentina,Buenos Aires,2022,84.17,41.21,70.6,1.57,0.33,6.91,5.52,347.79,10316.46,149.67,29.12,80.08
Argentina,Buenos Aires,2022,102.46,71.23,79.69,4.14,1.0,5.66,3.17,163.5,4029.95,97.87,34.83,78.5
Argentina,Buenos Aires,2022,105.08,73.05,94.25,3.87,0.93,12.81,5.25,396.01,1991.11,185.64,36.94,78.79
Argentina,Buenos Aires,2022,129.6,80.04,141.37,0.59,2.58,10.82,6.14,353.65,13180.37,208.86,33.96,77.07
Argentina,Buenos Aires,2022,144.02,100.66,133.64,1.67,2.4,12.76,8.22,223.39,8920.08,219.37,36.62,75.85
Argentina,Buenos Aires,2023,148.31,100.22,133.59,3.83,2.14,4.11,6.52,357.83,11466.09,159.41,31.11,75.83
Argentina,Buenos Aires,2023,85.25,50.5,70.27,1.57,1.4,7.35,5.97,327.62,9587.22,152.12,33.03,79.97
Argentina,Buenos Aires,2023,162.49,72.36,160.39,3.45,0.68,10.67,5.66,79.7,9460.88,187.66,29.13,74.33
Argentina,Buenos Aires,2023,105.07,56.01,77.91,3.17,2.66,9.13,4.34,292.04,12747.91,165.05,32.06,78.58
Argentina,Buenos Aires,2023,115.67,70.64,105.69,3.87,1.42,9.01,5.41,181.7,4407.02,184.55,35.98,77.65
Argentina,Buenos Aires,2023,107.26,47.89,114.42,1.72,1.83,6.27,8.81,240.2,10409.04,202.48,33.38,78.33
Argentina,Buenos Aires,2023,140.59,82.49,136.46,3.36,1.28,6.79,6.27,335.86,4118.04,155.43,36.37,76.3
Argentina,Buenos Aires,2023,123.53,82.4,114.93,0.57,1.95,11.28,8.54,251.03,4326.06,202.8,40.95,77.27
Argentina,Buenos Aires,2023,154.66,99.83,168.16,3.89,1.9,7.02,3.46,359.38,12730.94,139.41,29.07,75.41
Argentina,Buenos Aires,2023,196.11,117.07,158.95,3.6,1.72,8.99,9.48,245.18,13767.43,229.96,27.81,72.42
Argentina,Buenos Aires,2023,93.92,49.2,75.23,2.06,1.74,7.92,5.21,223.52,8927.11,161.39,34.24,79.19
Argentina,Buenos Aires,2023,134.56,86.73,143.45,2.19,1.41,4.84,8.98,179.88,11756.26,172.49,30.29,76.39
Argentina,Buenos Aires,2023,167.76,104.63,174.86,0.63,2.0,12.36,5.74,192.58,14113.22,218.04,31.25,74.2
Argentina,Buenos Aires,2023,71.18,34.83,72.2,2.51,2.88,5.98,8.33,286.53,2078.83,166.11,44.04,80.83
Argentina,Buenos Aires,2023,166.86,107.74,155.33,3.06,0.71,12.65,4.29,262.74,6407.03,189.48,32.67,74.4
Argentina,Buenos Aires,2023,150.28,79.27,157.17,2.57,2.88,7.33,7.4,201.0,5478.04,186.86,40.58,75.38
Argentina,Cordoba,2014,95.77,56.35,85.27,0.77,2.31,13.94,4.94,257.56,2494.84,203.71,43.68,79.13
Argentina,Cordoba,2014,180.64,107.88,174.99,4.29,0.36,10.47,3.56,104.16,10528.19,167.0,26.25,73.17
Argentina,Cordoba,2014,106.05,52.25,107.36,1.39,1.04,13.18,5.27,399.15,1531.75,174.92,40.21,78.73
Argentina,Cordoba,2014,61.17,29.12,49.08,2.71,1.89,11.43,3.28,263.73,1344.26,145.74,41.61,81.45
Argentina,Cordoba,2014,148.03,70.18,152.65,4.36,0.56,13.63,6.37,350.01,1046.88,218.93,36.28,75.83
Argentina,Cordoba,2014,72.04,50.13,65.29,3.14,1.56,5.26,9.13,314.8,2380.43,178.72,39.15,80.83
Argentina,Cordoba,2014,103.96,61.73,75.89,3.87,2.61,5.91,3.97,162.96,3524.92,127.33,40.42,78.4
Argentina,Cordoba,2014,131.05,60.58,135.78,2.84,1.31,5.05,4.41,83.9,5480.94,131.43,35.62,76.43
Argentina,Cordoba,2014,153.94,69.23,155.22,2.01,0.55,11.66,6.28,264.57,4802.53,184.01,34.85,75.27
Argentina,Cordoba,2014,116.75,73.61,95.1,0.54,1.03,8.09,7.72,149.25,8764.69,191.47,33.77,77.52
Argentina,Cordoba,2014,164.31,108.86,132.43,0.56,0.78,12.63,6.78,270.89,11967.41,229.35,29.83,74.59
Argentina,Cordoba,2014,80.87,52.44,72.74,1.75,1.58,6.76,8.4,358.15,5592.51,184.77,37.39,80.32
Argentina,Cordoba,2014,104.38,62.28,93.74,2.86,1.02,4.48,6.19,174.34,5979.88,130.12,34.21,78.39
Argentina,Cordoba,2014,142.48,77.65,135.94,3.73,2.43,10.22,8.82,306.82,9541.6,224.83,34.02,76.11
Argentina,Cordoba,2014,142.22,88.77,138.29,1.61,1.26,12.71,7.04,65.75,11864.35,239.34,30.3,75.65
Argentina,Cordoba,2014,123.31,50.72,86.49,2.59,0.63,4.98,5.17,349.49,13390.8,151.72,25.9,77.48
Argentina,Cordoba,2014,198.82,122.77,179.11,3.42,0.38,10.88,8.1,171.88,12014.42,233.62,25.71,72.09
Argentina,Cordoba,2014,87.72,42.71,63.3,2.58,0.94,5.96,8.37,115.4,2028.02,178.54,38.2,79.38
Argentina,Cordoba,2014,148.72,103.81,159.62,4.04,0.96,8.75,3.39,122.55,12745.01,150.33,26.1,75.33
Argentina,Cordoba,2014,149.28,68.87,159.39,3.59,1.5,7.02,4.9,79.37,13811.17,169.96,27.11,75.21
Argentina,Cordoba,2014,122.82,70.38,114.77,2.89,0.4,10.0,5.84,343.43,11867.96,184.89,26.45,77.5
Argentina,Cordoba,2014,137.44,88.74,112.65,1.86,3.0,10.92,3.52,186.95,12307.43,177.47,34.82,76.21
Argentina,Cordoba,2014,156.55,65.72,112.09,3.16,0.4,13.4,5.99,208.81,5952.49,201.97,32.09,74.98
Argentina,Cordoba,2014,134.32,83.04,124.82,1.39,1.82,12.39,5.74,386.15,7695.87,213.51,36.37,76.82
Argentina,Cordoba,2014,153.71,94.75,115.47,0.68,1.84,11.82,6.8,342.95,8972.44,202.72,35.88,75.44
Argentina,Cordoba,2014,117.23,58.21,89.03,0.52,0.98,9.73,3.44,179.22,11747.73,167.94,30.67,77.54
Argentina,Cordoba,2014,156.8,83.3,151.13,3.68,1.06,11.73,3.96,374.38,11092.65,167.76,28.39,75.3
Argentina,Cordoba,2014,134.35,63.92,129.37,1.45,0.48,11.26,6.85,63.54,7233.29,198.69,32.75,76.17
Argentina,Cordoba,2015,113.42,55.61,85.56,0.72,1.61,7.72,4.82,76.71,8108.28,157.42,36.0,77.59
Argentina,Cordoba,2015,71.74,38.02,69.21,1.45,2.78,4.76,9.14,134.05,5746.59,166.51,41.16,80.49
Argentina,Cordoba,2015,149.77,101.08,156.17,3.09,0.94,7.29,4.68,377.21,14147.85,168.13,25.59,75.77
Argentina,Cordoba,2015,145.61,75.53,119.2,3.05,1.46,9.42,3.55,165.86,11051.05,168.86,30.29,75.62
Argentina,Cordoba,2015,100.94,52.54,93.93,3.46,2.28,6.19,8.83,387.11,6077.58,176.54,37.29,79.04
Argentina,Cordoba,2015,97.38,65.31,77.8,3.23,2.21,4.5,6.54,305.94,8371.53,144.82,35.04,79.12
Argentina,Cordoba,2015,188.02,116.14,157.71,2.81,0.39,9.71,4.5,97.36,11464.62,159.0,26.9,72.66
Argentina,Cordoba,2015,140.2,71.8,122.36,2.59,2.22,6.83,8.37,188.32,12262.98,203.85,31.8,76.03
Argentina,Cordoba,2015,75.36,30.75,65.33,1.33,0.8,4.35,4.23,258.81,12144.28,125.04,28.93,80.49
Argentina,Cordoba,2015,117.51,81.57,122.85,4.5,1.54,8.57,5.51,355.57,6879.49,159.14,33.25,77.88
Argentina,Cordoba,2015,101.78,45.45,83.71,0.76,1.88,6.29,3.69,69.23,4213.06,123.01,40.68,78.35
Argentina,Cordoba,2015,178.28,73.73,157.74,1.67,0.38,13.87,9.02,153.45,14128.18,275.99,25.33,73.42
Argentina,Cordoba,2015,137.02,63.17,137.04,3.43,0.32,11.14,7.41,310.36,9704.57,216.67,27.83,76.49
Argentina,Cordoba,2015,92.27,40.1,82.42,1.12,1.73,10.6,4.29,229.25,9423.9,191.29,34.65,79.31
Argentina,Cordoba,2016,147.29,73.51,147.1,4.31,1.3,12.03,7.8,265.54,4920.79,233.87,34.68,75.71
Argentina,Cordoba,2016,121.97,63.86,129.89,2.97,2.67,4.94,9.62,345.43,11236.65,175.55,33.82,77.56
Argentina,Cordoba,2016,160.45,77.66,153.66,2.41,2.77,10.07,4.97,63.65,11584.73,189.98,34.31,74.43
Argentina,Cordoba,2016,133.46,68.0,120.32,0.91,0.5,11.81,8.67,177.42,9826.21,220.78,30.77,76.46
Argentina,Cordoba,2016,174.33,97.2,132.22,2.07,2.61,13.62,7.69,244.28,11619.33,219.99,34.15,73.87
Argentina,Cordoba,2016,78.1,54.01,84.65,2.58,2.89,10.87,7.32,160.95,1842.21,208.86,44.25,80.12
Argentina,Cordoba,2016,93.46,55.32,66.27,1.09,0.57,7.22,4.97,308.22,7847.0,170.75,32.76,79.39
